CMS Incident Date,CMS CF Issue Date,CMS Complaint Close Date Year,CMS Complainant Source Desc,CMS Complainant Gender Desc,CMS Complainant Ethnicity Desc,CMS Accused at Incd Emp Type Desc,CMS Accused at Incd Gender Desc,CMS Accused at Incd Ethnicity Desc,CMS Allegation Type Description,CMS Disposition Type Description
,,,,,,,,,Unauthorized Tactics,Unfounded
,,,,,,,,White,Unauthorized Tactics,Unfounded
,"August 24, 2021",2022,Public-Person Involved,MALE,Other,Sworn Employee,MALE,Asian,Neglect of Duty - Non-Supervisory Duties,Unfounded
"August 15, 2021","August 15, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Asian,Biased Policing,Demonstrably False
,,,,,,,,Hispanic,Biased Policing,Demonstrably False
"August 16, 2021","August 16, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,Hispanic,Unauthorized Tactics,Unfounded
,,,,,,,,,Biased Policing,Unfounded
,,,,,,,MALE,Asian,Discourtesy - General,Demonstrably False
,,,,,,,,,Body Worn/Digital In-Car Video Violation,Sustained
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Exonerated
,,,,,,,,Hispanic,Neglect of Duty - Non-Supervisory Duties,Demonstrably False
,,,,,,,,,Discourtesy - General,Demonstrably False
,,,,,,,,,Biased Policing,Unfounded
,,,,,,,,,Search Violation,Exonerated
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,,,Unauthorized Tactics,Unfounded
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Exonerated
,"August 17, 2021",2022,Public-Person Involved,FEMALE,UNKNOWN,Sworn Employee,MALE,Hispanic,Biased Policing,Demonstrably False
,"August 24, 2021",2022,Public-Person Involved,FEMALE,UNKNOWN,Sworn Employee,FEMALE,Asian,Unbecoming Conduct - Miscellaneous,Unfounded
,,,,,,,,,Neglect of Duty - Supervisory Duties,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,,,,MALE,Black,Sworn Employee,MALE,Hispanic,Neglect of Duty - Supervisory Duties,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
"August 17, 2021","August 17, 2021",2022,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Discourtesy - General,Unfounded
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Unfounded
,"August 18, 2021",2022,Public-Third Party,NULL,NULL,Sworn Employee,MALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Unfounded
,"August 24, 2021",2022,Public-Third Party,UNKNOWN,UNKNOWN,Sworn Employee,MALE,Hispanic,Other Policy/Rule,Actions Could be Different
,"August 26, 2021",2022,Public-Person Involved,FEMALE,White,Sworn Employee,MALE,White,Discourtesy - General,Demonstrably False
,"September 4, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Asian,Detention Violation,Unfounded
,,,,,,,,Hispanic,Detention Violation,Unfounded
"August 18, 2021","August 18, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Black,Neglect of Duty - Non-Supervisory Duties,No Misconduct
,,,,,,,,,Discourtesy - General,Demonstrably False
,,,,,,,,Hispanic,Neglect of Duty - Non-Supervisory Duties,No Misconduct
,,,,,,,,White,Search Violation,Demonstrably False
,,,,,,,,,Detention Violation,Demonstrably False
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Demonstrably False
,"August 19, 2021",2022,Public-Person Involved,MALE,Hispanic,Sworn Employee,FEMALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Demonstrably False
,,,,,,,MALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Sustained
,"August 20, 2021",2022,Public-Person Involved,FEMALE,Other,Sworn Employee,MALE,Hispanic,Detention Violation,Unfounded
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Demonstrably False
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Unfounded
,,,,,,,,White,Neglect of Duty - Non-Supervisory Duties,Demonstrably False
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,,,Detention Violation,Unfounded
,"August 25, 2021",2022,Public-Person Involved,FEMALE,Other,Sworn Employee,MALE,White,Neglect of Duty - Non-Supervisory Duties,No Misconduct
,"August 26, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Discourtesy - General,Unfounded
,"August 31, 2021",2022,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,White,Domestic Incident,Unfounded
"August 19, 2021","August 19, 2021",2022,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Unbecoming Conduct - Miscellaneous,Unfounded
,"August 20, 2021",2022,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Asian,Biased Policing,Unfounded
,,,,,,,,Hispanic,Biased Policing,Unfounded
,,,,MALE,Black,Sworn Employee,MALE,Hispanic,Biased Policing,Unfounded
,,,,,,,,White,Biased Policing,Unfounded
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Actions Could be Different
"August 20, 2021","August 20, 2021",2022,Public-Person Involved,MALE,Other,Sworn Employee,FEMALE,Black,Unauthorized Force,Demonstrably False
,,,,,,,,,Unauthorized Tactics,Demonstrably False
,,,,,,,MALE,Hispanic,Unauthorized Force,Demonstrably False
,,,,,,,,,Unauthorized Tactics,Demonstrably False
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Demonstrably False
,,,,,White,Sworn Employee,MALE,Asian,Sexual Misconduct,Demonstrably False
,,,,,,,,Black,Sexual Misconduct,Demonstrably False
,"August 21, 2021",2022,Public-Person Involved,FEMALE,Asian,Sworn Employee,MALE,Hispanic,Discourtesy - General,Demonstrably False
,,,,MALE,Black,Sworn Employee,MALE,Hispanic,Unbecoming Conduct - Miscellaneous,Alternate Complaint Resolution
,,,,,,,,White,Unbecoming Conduct - Miscellaneous,Alternate Complaint Resolution
,"September 4, 2021",2022,Public-Person Involved,FEMALE,White,Sworn Employee,MALE,Hispanic,Discourtesy - General,No Misconduct
"August 21, 2021","August 21, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,White,Unbecoming Conduct - Miscellaneous,Unfounded
,,,,,,,MALE,Asian,Biased Policing,Mediated
,,,,,,,,White,Biased Policing,Unfounded
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Unfounded
,,,,,Other,Sworn Employee,MALE,Black,Discourtesy - General,Alternate Complaint Resolution
,,,,,White,Sworn Employee,MALE,Hispanic,Other Policy/Rule,Actions Could be Different
,,,,,,,,White,Other Policy/Rule,Actions Could be Different
,"August 22, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Asian,Detention Violation,Unfounded
,,,,,,,,White,Detention Violation,Unfounded
,,,,,,,,,Search Violation,Unfounded
,"August 24, 2021",2022,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,White,Neglect of Duty - Non-Supervisory Duties,Unfounded
